name,property_type,room_type,bedrooms,beds,bed_type,bathrooms,minimum_nights,maximum_nights,cancellation_policy,price,security_deposit,cleaning_fee,extra_people,guests_included,street,sub_urban,government_area,country_code,market,latitude,longitude,host_id,host_name,host_location,host_neighbourhood,host_identity_verified,host_is_superhost,host_response_rate,avilability_30,avilability_60,avilability_90,avilability_365,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,review_scores_rating,total_reviews
petite chambre sur le playeau mont royal,Bed and breakfast,Private room,1.0,1,Real Bed,1.0,1,1125,flexible,31.0,0.0,0.0,0,1,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,CA,Montreal,45.52293,-73.57857,145169614,Eric,CA,Le Plateau,no,no,70.0,30,60,87,356,10,6,10,10,10,8,100,294
L Honoapiilani Condo #120993 *NO GUEST SERVICE FEE*,Condominium,Entire home/apt,1.0,1,Real Bed,1.0,5,365,super_strict_60,310.0,500.0,263.0,0,4,"Lahaina, HI, United States",Napili/Honokowai,Lahaina,US,Maui,20.95666,-156.68587,195873583,Red Awning,US,-,no,no,0.0,12,38,58,320,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
North Point ...Room for 2 --- with lift  (2a),Apartment,Private room,0.0,1,Real Bed,1.0,29,1125,flexible,228.0,0.0,0.0,0,1,"Hong Kong, Hong Kong Island, Hong Kong",North Point,Eastern,HK,Hong Kong,22.29032,114.19977,97240131,Jov,"Hong Kong, Hong Kong",Kennedy Town,no,no,98.0,12,42,72,162,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Chambre lumineuse dans Villeray,Apartment,Private room,1.0,1,Real Bed,1.0,2,1125,flexible,32.0,0.0,0.0,0,1,"Montréal, Québec, Canada",Villeray,Villeray-Saint-Michel-Parc-Extension,CA,Montreal,45.53873,-73.62657,128573881,Agnes,"Montreal, Quebec, Canada",Villeray,no,no,0.0,29,59,89,89,10,10,10,10,10,10,100,450
NEW-Kamuela Luxury Resort Townhome on Kohala Coast,Townhouse,Entire home/apt,2.0,2,Real Bed,2.0,4,29,strict_14_with_grace_period,400.0,0.0,286.0,0,1,"Kamuela, HI, United States",Island of Hawaiʻi,South Kohala,US,The Big Island,19.94653,-155.85622,151398424,Evolve,United States,-,no,no,67.0,7,28,58,303,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Leme - 2 quartos  - portaria 24 horas,Apartment,Entire home/apt,2.0,3,Real Bed,2.0,1,1000,strict_14_with_grace_period,280.0,0.0,0.0,0,1,"Leme, Rio de Janeiro, Brazil",Leme,Leme,BR,Rio De Janeiro,-22.961917625695435,-43.16990793229011,195046037,Paula,"Recreio dos Bandeirantes, State of Rio de Janeiro, Brazil",-,no,no,100.0,0,0,0,0,10,10,10,10,10,10,100,1935
Waikiki Banyan Tower 2 Suite 3704 *No guest service fee*,Condominium,Entire home/apt,1.0,2,Real Bed,1.0,5,365,super_strict_60,307.0,500.0,319.0,0,6,"Waikiki, HI, United States",Honolulu,Primary Urban Center,US,Oahu,21.27413,-157.822,196635279,Red Awning,US,-,no,no,100.0,9,32,47,212,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Devesas Apartment,Apartment,Entire home/apt,2.0,3,Real Bed,2.0,2,1125,flexible,85.0,0.0,0.0,10,4,"Vila Nova de Gaia, Porto, Portugal",,Santa Marinha e São Pedro da Afurada,PT,Porto,41.12777,-8.62179,196983815,Guilherme,"Vila Nova de Gaia, Porto District, Portugal",-,no,yes,100.0,30,60,82,357,10,10,10,10,9,9,99,6300
Ótimo quarto p 1-2 moças.Próx UERJ/Maracanã/Centro,Condominium,Private room,1.0,1,Real Bed,1.0,5,1125,moderate,41.0,0.0,0.0,27,1,"Grajau, Rio de Janeiro, Brazil",Engenho Novo,Engenho Novo,BR,Rio De Janeiro,-22.913544431538625,-43.2718506152968,196747935,Fatima,BR,Engenho Novo,no,no,100.0,0,0,0,163,not_available,not_available,not_available,not_available,not_available,not_available,not_available,2
Nice and quiet room in the Plateau,Condominium,Private room,1.0,1,Real Bed,1.0,2,1125,moderate,36.0,0.0,0.0,7,1,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,CA,Montreal,45.52984,-73.59447,196904550,Luna,"Montreal, Quebec, Canada",Le Plateau,no,yes,100.0,2,32,62,62,10,10,10,10,10,10,99,12720
